abandona,-2
abandonado,-2
abandonar,-2
abatido,-2
abatido,-3
aborrece,-3
aborrecer,-3
aborrecible,-3
aborrecido,-3
abrazo,2
abrazos,2
abriga,2
absolver,2
absolviendo,2
absorbido,1
absorto,1
absueltos,2
absuelve,2
aburrido,-2
aburrido,-3
aburrir,-2
abusado,-3
abusivo,-3
abuso,-3
abusos,-3
acaparador,-2
acaparamiento,-2
accidental,-2
accidentalmente,-2
accidente,-2
accidentes,-2
acepta,1
aceptado,1
aceptado,-1
aceptar,1
aclamaciones,2
aclara,2
acosado,-2
acoso,-2
activo,1
activo,2
acuchillado,-2
acuerdo,1
acusa,-2
acusacion,-2
acusaciones,-2
acusado,-2
acusando,-2
acusar,-2
adecuado,1
admira,3
admirar,3
admirativo,3
admite,-1
admitir,-1
adoctrina,-2
adoctrinados,-2
adoctrinar,-2
adopta,1
adoptar,1
adora,3
adorable,3
adorado,3
adorar,3
advertencia,-3
advertencias,-3
advertir,-2
advierte,-2
afable,2
afectado,-1
afecto,3
aficionado,2
afilado,1
afirmativamente,2
afligido,-1
afligido,-2
afortunado,2
afrentado,-1
agobiados,-2
agoniza,-3
agonizado,-3
agonizante,-3
agonizar,-3
agotado,-2
agradable,2
agradable,3
agradecido,3
agradecido,2
agrava,-2
agravado,-2
agravante,-2
agravar,-2
agresion,-2
agresiones,-2
agresivo,-2
agresor,-1
aguante,2
ahogar,-2
ahogo,-2
ahogue,-2
airado,-3
aislado,-1
aivio,2
ajuste,1
alabado,3
alabando,3
alabanza,3
alabanzas,3
alarma,-2
alarmado,-2
alarmista,-2
alarmistas,-2
alboroto,-2
alcances,1
alcanzado,1
alcanzar,1
aleccionadora,1
alegrarse,4
alegre,2
alegre,3
alegre,1
alegremente,3
alegria,3
alegria,4
alentado,2
alentar,2
alergico,-2
alerta,-1
alfombrilla,-1
algun,0
tipo,0
alicaido,-2
alienacion,-2
alienta,2
aliviado,2
aliviado,3
aliviar,1
amable,3
amado,3
amargado,-2
amargamente,-2
amargo,-2
ambicioso,2
ambivalente,-1
amenaza,-2
